Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1962]=50392.468
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1963]=52014.176
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1964]=53635.884
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1965]=55257.592
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1966]=56879.3
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1967]=58501.008
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1968]=60122.716
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1969]=61744.424
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1970]=63366.132
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1971]=63545.863
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1972]=63725.594
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1973]=63905.326
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1974]=64085.057
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1975]=64264.788
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1976]=64444.519
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1977]=64624.251
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1978]=64803.982
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1979]=64983.713
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1980]=65163.444
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1981]=65043.883
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1982]=64924.321
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1983]=64804.76
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1984]=64685.199
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1985]=64565.637
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1986]=64446.076
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1987]=64326.514
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1988]=64206.953
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1989]=64087.391
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1990]=63967.83
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1991]=62955.167
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1992]=61942.504
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1993]=60929.841
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1994]=59917.178
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1995]=58904.515
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1996]=57891.852
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1997]=56879.189
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1998]=55866.526
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1999]=54853.863
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[2000]=53841.2
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[2001]=54419.1
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[2002]=54996.1
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[2003]=55571.6
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[2004]=56146.1
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[2005]=56719.5
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[2006]=56545
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[2007]=56367.8
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[2008]=56184.533
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[2009]=56001.267
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[2010]=55818
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[2011]=54657.49
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[2012]=53496.98
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[2013]=52336.47
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[2014]=51175.96
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[2015]=50015.45
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[2016]=48854.94
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[2017]=47694.43
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[2018]=46533.92
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[2019]=45373.41
