Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1858]=22.550611
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1859]=22.614261
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1860]=22.677911
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1861]=22.734528
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1862]=22.791144
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1863]=22.847761
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1864]=22.904378
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1865]=22.960995
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1866]=23.017612
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1867]=23.074229
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1868]=23.130846
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1869]=23.187463
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1870]=23.244079
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1871]=23.283844
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1872]=23.323608
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1873]=23.363373
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1874]=23.403138
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1875]=23.442902
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1876]=23.482667
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1877]=23.522431
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1878]=23.562196
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1879]=23.60196
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1880]=23.641725
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1881]=23.675442
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1882]=23.709158
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1883]=23.742875
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1884]=23.776592
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1885]=23.810309
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1886]=23.844026
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1887]=23.877742
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1888]=23.911459
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1889]=23.945176
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1890]=23.978893
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1891]=24.011375
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1892]=24.043857
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1893]=24.076339
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1894]=24.108821
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1895]=24.141303
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1896]=24.173785
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1897]=24.206267
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1898]=24.238749
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1899]=24.271232
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1900]=24.303714
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1901]=24.336515
