Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1867]=6.052372
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1868]=6.0922945
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1869]=6.1322171
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1870]=6.1721397
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1871]=6.217166
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1872]=6.2621924
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1873]=6.3072188
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1874]=6.3522452
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1875]=6.3972715
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1876]=6.4422979
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1877]=6.4873243
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1878]=6.5323507
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1879]=6.577377
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1880]=6.6224034
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1881]=6.6759474
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1882]=6.7294913
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1883]=6.7830353
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1884]=6.8365793
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1885]=6.8901232
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1886]=6.9436672
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1887]=6.9972112
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1888]=7.0507551
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1889]=7.1042991
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1890]=7.1578431
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1891]=7.2358632
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1892]=7.3138833
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1893]=7.3919035
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1894]=7.4699236
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1895]=7.5479437
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1896]=7.6259638
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1897]=7.703984
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1898]=7.7820041
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1899]=7.8600242
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1900]=7.9380443
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1901]=8.0441379
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1902]=8.1502315
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1903]=8.2563251
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1904]=8.3624187
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1905]=8.4685123
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1906]=8.5746059
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1907]=8.6806995
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1908]=8.7867931
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1909]=8.8928867
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1910]=8.9989803
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1911]=9.0569588
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1912]=9.1149373
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1913]=9.1729159
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1914]=9.2308944
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1915]=9.288873
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1916]=9.3468515
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1917]=9.4048301
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1918]=9.4628086
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1919]=9.5207871
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1920]=9.5787657
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1921]=9.6457029
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1922]=9.7126402
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1923]=9.7795774
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1924]=9.8465147
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1925]=9.9134519
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1926]=9.9803892
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1927]=10.047326
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1928]=10.114264
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1929]=10.181201
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1930]=10.248138
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1931]=10.302469
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1932]=10.356801
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1933]=10.411132
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1934]=10.465463
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1935]=10.519794
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1936]=10.574125
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1937]=10.628457
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1938]=10.682788
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1939]=10.737119
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1940]=10.79145
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1941]=11.123415
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1942]=11.45538
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1943]=11.787344
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1944]=12.119309
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1945]=12.451274
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1946]=12.783238
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1947]=13.115203
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1948]=13.447168
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1949]=13.779132
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1950]=14.111097
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1951]=14.528488
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1952]=14.945879
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1953]=15.36327
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1954]=15.780661
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1955]=16.198052
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1956]=16.615443
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1957]=17.032834
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1958]=17.450225
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1959]=17.867616
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1960]=18.285007
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1961]=18.959141
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1962]=19.633274
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1963]=20.307407
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1964]=20.981541
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1965]=21.655674
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1966]=22.329807
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1967]=23.003941
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1968]=23.678074
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1969]=24.352208
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1970]=25.026341
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1971]=25.809673
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1972]=26.593006
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1973]=27.376338
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1974]=28.159671
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1975]=28.943004
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1976]=29.726336
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1977]=30.509669
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1978]=31.293001
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1979]=32.076334
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1980]=32.859666
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1981]=33.357242
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1982]=33.854818
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1983]=34.352393
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1984]=34.849969
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1985]=35.347545
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1986]=35.845121
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1987]=36.342696
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1988]=36.840272
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1989]=37.337848
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1990]=37.835424
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1991]=37.868111
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1992]=37.900799
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1993]=37.933487
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1994]=37.966174
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1995]=37.998862
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1996]=38.03155
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1997]=38.064237
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1998]=38.096925
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1999]=38.129612
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[2000]=38.1623
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[2001]=38.2888
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[2002]=38.4153
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[2003]=38.5418
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[2004]=38.6684
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[2005]=38.7948
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[2006]=38.883
