Tue Aug 11 14:42:21 2020:DEBUG:run: Computed reference temperature 0.38036 (1951-1980)
Tue Aug 11 14:42:21 2020:DEBUG:compute_slr: 1746 T=-0.38036 degC dTdt=0 dHdt=0.0165984 cm/yr slr=0.0165984 cm
Tue Aug 11 14:42:21 2020:DEBUG:compute_slr: 1746 T=-0.38036 degC Dtdt=0 DHdt_no_ice=-0.000428804 cm/yr slr_no_ice=-0.000428804 cm
Tue Aug 11 14:42:21 2020:DEBUG:compute_slr: 1747 T=-0.38036 degC dTdt=0 dHdt=0.0165984 cm/yr slr=0.0331967 cm
Tue Aug 11 14:42:21 2020:DEBUG:compute_slr: 1747 T=-0.38036 degC Dtdt=0 DHdt_no_ice=-0.000428804 cm/yr slr_no_ice=-0.000857608 cm
Tue Aug 11 14:42:21 2020:DEBUG:compute_slr: 1748 T=-0.38036 degC dTdt=0 dHdt=0.0165984 cm/yr slr=0.0497951 cm
Tue Aug 11 14:42:21 2020:DEBUG:compute_slr: 1748 T=-0.38036 degC Dtdt=0 DHdt_no_ice=-0.000428804 cm/yr slr_no_ice=-0.00128641 cm
Tue Aug 11 14:42:21 2020:DEBUG:compute_slr: 1749 T=-0.38036 degC dTdt=0 dHdt=0.0165984 cm/yr slr=0.0663935 cm
Tue Aug 11 14:42:21 2020:DEBUG:compute_slr: 1749 T=-0.38036 degC Dtdt=0 DHdt_no_ice=-0.000428804 cm/yr slr_no_ice=-0.00171522 cm
Tue Aug 11 14:42:21 2020:DEBUG:compute_slr: 1750 T=-0.38036 degC dTdt=-2.29976e-05 dHdt=0.0167111 cm/yr slr=0.0831045 cm
Tue Aug 11 14:42:21 2020:DEBUG:compute_slr: 1750 T=-0.38036 degC Dtdt=-2.29976e-05 DHdt_no_ice=-0.000486298 cm/yr slr_no_ice=-0.00220151 cm
Tue Aug 11 14:42:21 2020:DEBUG:compute_slr: 1751 T=-0.380406 degC dTdt=-6.39798e-05 dHdt=0.0168861 cm/yr slr=0.0999907 cm
Tue Aug 11 14:42:21 2020:DEBUG:compute_slr: 1751 T=-0.380406 degC Dtdt=-6.39798e-05 DHdt_no_ice=-0.000592433 cm/yr slr_no_ice=-0.00279395 cm
Tue Aug 11 14:42:21 2020:DEBUG:compute_slr: 1752 T=-0.380488 degC dTdt=-9.36108e-05 dHdt=0.0169854 cm/yr slr=0.116976 cm
Tue Aug 11 14:42:21 2020:DEBUG:compute_slr: 1752 T=-0.380488 degC Dtdt=-9.36108e-05 DHdt_no_ice=-0.000673068 cm/yr slr_no_ice=-0.00346702 cm
Tue Aug 11 14:42:21 2020:DEBUG:compute_slr: 1753 T=-0.380593 degC dTdt=-0.000113239 dHdt=0.0170226 cm/yr slr=0.133999 cm
