Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1981]=7.0210048
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1982]=7.0982107
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1983]=7.1754165
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1984]=7.2526224
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1985]=7.3298282
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1986]=7.4070341
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1987]=7.48424
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1988]=7.5614458
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1989]=7.6386517
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1990]=7.7158575
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1991]=7.7247518
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1992]=7.733646
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1993]=7.7425403
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1994]=7.7514345
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1995]=7.7603288
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1996]=7.769223
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1997]=7.7781173
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1998]=7.7870115
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1999]=7.7959058
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[2000]=7.8048
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[2001]=7.8945
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[2002]=7.9842
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[2003]=8.0734
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[2004]=8.1623
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[2005]=8.2512
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[2006]=8.3258
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[2007]=8.4003
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[2008]=8.4745333
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[2009]=8.5487667
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[2010]=8.623
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[2011]=8.5989
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[2012]=8.5748
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[2013]=8.5507
